Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
139;21100843015;"RUDN Journal of Sociology";journal;"23132272, 24088897";0,280;Q2;9;78;196;2170;91;196;0,37;27,82;-;0;37;Russian Federation;Eastern Europe;"RUDN University";"2017-2024";"Social Sciences (miscellaneous) (Q2)";"Social Sciences"
140;21101200232;"Nauchnyi Dialog";journal;"2225756X, 22271295";0,278;Q1;3;270;269;7889;74;269;0,28;29,22;-;0;43;Russian Federation;Eastern Europe;"Tsentr Nauchnykh i Obrazovatelnykh Proektov";"2023-2024";"History (Q1); Literature and Literary Theory (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
141;21100996943;"Psychological Science and Education";journal;"18142052, 23117273";0,277;Q3;17;68;196;2337;188;192;0,91;34,37;-;0;24;Russian Federation;Eastern Europe;"Moscow State University of Psychology and Education";"1999, 2004-2024";"Developmental and Educational Psychology (Q3); Education (Q3); Psychology (miscellaneous) (Q3); Social Psychology (Q4)";"Psychology; Social Sciences"
142;21101045755;"Filosofiya. Zhurnal Vysshey Shkoly Ekonomiki";journal;"25878719";0,276;Q1;4;70;192;1650;28;175;0,17;23,57;-;0;5;Russian Federation;Eastern Europe;"National Research University, Higher School of Econoimics";"2019-2024";"History (Q1); Religious Studies (Q1); History and Philosophy of Science (Q2); Philosophy (Q2)";"Arts and Humanities"
143;21100979306;"Kavkazskij Entomologiceskij Bulleten";journal;"27131785, 18143326";0,275;Q3;7;17;122;411;40;122;0,22;24,18;-;0;0;Russian Federation;Eastern Europe;"Southern Scientific Centre of the Russian Academy of Sciences";"2019-2024";"Ecology, Evolution, Behavior and Systematics (Q3); Insect Science (Q3)";"Agricultural and Biological Sciences"
144;21100926578;"Ural Mathematical Journal";journal;"24143952";0,275;Q3;7;27;83;504;49;83;0,48;18,67;-;0;0;Russian Federation;Eastern Europe;"Krasovskii Institute of Mathematics and Mechanics of the Ural Branch of Russian Academy of Sciences";"2019-2024";"Mathematics (miscellaneous) (Q3)";"Mathematics"
145;21100775930;"Vestnik Tomskogo Gosudarstvennogo Universiteta, Filologiya";journal;"19986645, 23105046";0,275;Q1;8;88;282;3146;64;282;0,24;35,75;-;0;11;Russian Federation;Eastern Europe;"Tomsk State University";"2015-2024";"Literature and Literary Theory (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
146;21100463174;"Ural-Altaic Studies";journal;"20791003";0,274;Q2;6;20;80;772;22;80;0,31;38,60;-;0;0;Russian Federation;Eastern Europe;"Institute of Linguistics RAS, Department of Ural-Altaic languages";"2015-2024";"Linguistics and Language (Q2)";"Social Sciences"
147;21100834310;"Vestnik Sankt-Peterburgskogo Universiteta, Prikladnaya Matematika, Informatika, Protsessy Upravleniya";journal;"18119905, 25422251";0,274;Q3;11;40;132;927;51;132;0,37;23,18;-;0;4;Russian Federation;Eastern Europe;"Saint Petersburg State University";"2017-2024";"Applied Mathematics (Q3); Computer Science (miscellaneous) (Q3); Control and Optimization (Q3)";"Computer Science; Mathematics"
148;21101082063;"Industrial Laboratory. Materials Diagnostics";journal;"10286861, 25880187";0,273;Q3;12;113;372;2811;209;369;0,61;24,88;-;0;4;Russian Federation;Eastern Europe;"TEST-ZL Publishing, LLC";"2001-2005, 2019-2025";"Analytical Chemistry (Q3); Applied Mathematics (Q3); Materials Science (miscellaneous) (Q3); Mechanics of Materials (Q3)";"Chemistry; Engineering; Materials Science; Mathematics"
149;21100820733;"International Organisations Research Journal";journal;"19967845, 25422081";0,273;Q2;15;32;115;1398;80;115;0,69;43,69;-;0;22;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2015-2024";"Political Science and International Relations (Q2); Sociology and Political Science (Q2); Economics and Econometrics (Q3); Finance (Q3)";"Economics, Econometrics and Finance; Social Sciences"
150;21100887628;"Journal of Siberian Federal University - Humanities and Social Sciences";journal;"23136014, 19971370";0,273;Q2;12;200;470;5378;187;470;0,42;26,89;-;0;72;Russian Federation;Eastern Europe;"Siberian Federal University";"2018-2025";"Anthropology (Q2)";"Social Sciences"
151;21100468861;"Voprosy Onomastiki";journal;"19942400, 19942451";0,273;Q2;7;34;123;916;46;122;0,43;26,94;-;0;2;Russian Federation;Eastern Europe;"Ural Federal University";"2016-2024";"Communication (Q2); Linguistics and Language (Q2)";"Social Sciences"
152;21100898602;"Vysshee Obrazovanie v Rossii";journal;"08693617, 20720459";0,273;Q2;15;88;357;3039;322;357;1,21;34,53;-;0;39;Russian Federation;Eastern Europe;"Moscow Polytechnic University";"2018-2025";"Philosophy (Q2); Sociology and Political Science (Q2); Education (Q3)";"Arts and Humanities; Social Sciences"
153;21100432047;"Sovremennye Problemy Distantsionnogo Zondirovaniya Zemli iz Kosmosa";journal;"20707401, 24110280";0,272;Q3;19;162;449;3741;390;447;0,97;23,09;-;0;29;Russian Federation;Eastern Europe;"Space Research Institute of the Russian Academy of Sciences";"2015-2024";"Computer Networks and Communications (Q3); Computer Science Applications (Q3); Computers in Earth Sciences (Q3)";"Computer Science; Earth and Planetary Sciences"
154;21101061832;"Research Result. Theoretical and Applied Linguistics";journal;"23138912";0,270;Q1;5;32;100;1231;47;99;0,64;38,47;-;0;4;Russian Federation;Eastern Europe;"Belgorod State National Research University";"2019-2024";"Literature and Literary Theory (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
155;21100900131;"Terra Economicus";journal;"24104531, 20736606";0,269;Q1;12;37;106;1476;113;106;0,89;39,89;-;0;23;Russian Federation;Eastern Europe;"Southern Federal University";"2018-2024";"History (Q1); Law (Q2); Political Science and International Relations (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
156;21100926584;"Russian Journal of Nonlinear Dynamics";journal;"26585324, 26585316";0,268;Q3;11;57;122;1666;94;122;0,74;29,23;-;0;5;Russian Federation;Eastern Europe;"Institute of Computer Science Izhevsk";"2018-2024";"Applied Mathematics (Q3); Control and Systems Engineering (Q3); Mathematical Physics (Q3); Mechanical Engineering (Q3); Modeling and Simulation (Q3); Statistical and Nonlinear Physics (Q4)";"Engineering; Mathematics; Physics and Astronomy"
157;21101041843;"Novosti Sistematiki Vysshikh Rastenii";journal;"05685443, 26871564";0,267;Q3;4;0;47;0;13;46;0,36;0,00;-;0;0;Russian Federation;Eastern Europe;"Komarov Botanical Institute of the Russian Academy of Sciences";"2019-2023";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)";"Agricultural and Biological Sciences"
158;17841;"Radiatsionnaya Biologiya. Radioekologiya";journal;"08698031";0,267;Q3;20;25;135;1051;47;135;0,24;42,04;-;0;3;Russian Federation;Eastern Europe;"";"1993-2016, 2020-2024";"Medicine (miscellaneous) (Q3); Radiation (Q3); Radiology, Nuclear Medicine and Imaging (Q3); Biochemistry (Q4); Biomaterials (Q4); Biophysics (Q4); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Materials Science; Medicine; Physics and Astronomy"
159;26483;"Russian Journal of Bioorganic Chemistry";journal;"10681620, 1608330X";0,267;Q4;33;235;499;10452;734;484;1,63;44,48;-;0;80;Russian Federation;Eastern Europe;"";"1996-2024";"Biochemistry (Q4); Organic Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
160;35102;"Psikhologicheskii Zhurnal";journal;"02059592";0,266;Q3;16;50;213;1573;105;212;0,58;31,46;-;0;4;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"1984, 1996-2024";"Psychology (miscellaneous) (Q3)";"Psychology"
161;21100203110;"Computer Optics";journal;"01342452";0,265;Q3;41;89;327;2679;580;326;1,94;30,10;-;0;7;Russian Federation;Eastern Europe;"Institution of Russian Academy of Sciences, Image Processing Systems Institute of RAS";"2008-2024";"Atomic and Molecular Physics, and Optics (Q3); Computer Science Applications (Q3); Computer Vision and Pattern Recognition (Q3); Electrical and Electronic Engineering (Q3); Engineering (miscellaneous) (Q3)";"Computer Science; Engineering; Physics and Astronomy"
162;14552;"Doklady Biological Sciences";journal;"00124966, 16083105";0,265;Q3;21;59;194;1578;157;194;0,73;26,75;-;0;13;Russian Federation;Eastern Europe;"";"1972-1974, 1979-1990, 2000-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Immunology and Microbiology (miscellaneous)  (Q3); Medicine (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
163;21101137841;"Economy of Regions";journal;"20726414, 24111406";0,265;Q3;20;85;278;3255;273;277;0,83;38,29;-;0;68;Russian Federation;Eastern Europe;"Institute of Economics, The Ural Branch of Russian Academy of Sciences";"2010-2024";"Business, Management and Accounting (miscellaneous) (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
164;21100824437;"Led i Sneg";journal;"20766734, 24123765";0,265;Q3;12;36;139;1022;87;137;0,57;28,39;-;0;8;Russian Federation;Eastern Europe;"Izdatel'stvo Nauka";"2017-2024";"Earth-Surface Processes (Q3); Geochemistry and Petrology (Q3); Water Science and Technology (Q3); Global and Planetary Change (Q4)";"Earth and Planetary Sciences; Environmental Science"
165;21100469656;"Radiation and Risk";journal;"2412950X, 01313878";0,264;Q3;10;48;145;1039;75;143;0,45;21,65;-;0;37;Russian Federation;Eastern Europe;"National Medical Research Radiological Centre of the Ministry of Health of the Russian Federation";"2016-2024";"Nuclear and High Energy Physics (Q3); Public Health, Environmental and Occupational Health (Q3); Radiation (Q3); Radiology, Nuclear Medicine and Imaging (Q3)";"Medicine; Physics and Astronomy"
166;35423;"Russian Meteorology and Hydrology";journal;"10683739, 19348096";0,264;Q3;25;129;343;3656;227;343;0,65;28,34;-;0;38;Russian Federation;Eastern Europe;"";"1993-2024";"Fluid Flow and Transfer Processes (Q3); Water Science and Technology (Q3); Atmospheric Science (Q4)";"Chemical Engineering; Earth and Planetary Sciences; Environmental Science"
167;18162;"Sotsiologicheskie Issledovaniya";journal;"01321625";0,264;Q3;16;143;608;2830;221;530;0,42;19,79;-;0;51;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"1981-1982, 1984-1986, 2002-2024";"Sociology and Political Science (Q3)";"Social Sciences"
168;21100312217;"Etnograficeskoe Obozrenie";journal;"08695415";0,263;Q1;7;61;208;1988;45;199;0,23;32,59;-;0;12;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"2011-2024";"Cultural Studies (Q1); Anthropology (Q2)";"Social Sciences"
169;21100845389;"Chebyshevskii Sbornik";journal;"22268383";0,262;Q3;10;106;382;2050;97;382;0,25;19,34;-;0;1;Russian Federation;Eastern Europe;"State Lev Tolstoy Pedagogical University";"2017-2024";"Mathematics (miscellaneous) (Q3)";"Mathematics"
170;21100821147;"Quaestio Rossica";journal;"2311911X, 23136871";0,262;Q1;9;87;291;2928;63;283;0,22;33,66;-;0;14;Russian Federation;Eastern Europe;"Ural Federal University";"2013-2024";"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Visual Arts and Performing Arts (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
171;21101070214;"Russian Rhinology";journal;"24118788, 08695474";0,262;Q3;6;46;113;1086;60;112;0,48;23,61;-;0;7;Russian Federation;Eastern Europe;"Media Sphera Publishing Group";"2019-2024";"Otorhinolaryngology (Q3)";"Medicine"
172;5600152989;"Sotsiologicheskiy Zhurnal";journal;"15622495, 16841581";0,262;Q3;8;32;101;1173;48;100;0,67;36,66;-;0;13;Russian Federation;Eastern Europe;"Institut Sociologii RAN";"2017-2024";"Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Social Sciences"
173;21100787098;"World Economy and International Relations";journal;"01312227";0,261;Q2;14;141;470;4636;190;464;0,42;32,88;-;0;86;Russian Federation;Eastern Europe;"Primakov National Research Institute";"2015-2024";"Political Science and International Relations (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
174;21100466428;"Herald of the Bauman Moscow State Technical University, Series Natural Sciences";journal;"18123368";0,260;Q3;12;52;169;1273;110;169;0,60;24,48;-;0;8;Russian Federation;Eastern Europe;"Bauman University Publishing House";"2016-2024";"Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)";"Chemistry; Computer Science; Engineering; Mathematics; Physics and Astronomy"
175;21101018670;"Izvestiya of Saratov University. Mathematics. Mechanics. Informatics";journal;"18169791, 25419005";0,260;Q3;7;52;132;1042;59;132;0,43;20,04;-;0;2;Russian Federation;Eastern Europe;"Saratov National Research State University";"2018-2024";"Computational Mechanics (Q3); Computer Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Mechanical Engineering (Q3); Mechanics of Materials (Q3)";"Computer Science; Engineering; Mathematics"
176;26985;"Kinetics and Catalysis";journal;"00231584, 16083210";0,260;Q3;42;90;259;3637;306;259;1,44;40,41;-;0;24;Russian Federation;Eastern Europe;"";"1968-1971, 1984-1992, 1996-2024";"Chemistry (miscellaneous) (Q3); Computer Science Applications (Q3); Modeling and Simulation (Q3); Catalysis (Q4)";"Chemical Engineering; Chemistry; Computer Science; Mathematics"
177;21101052860;"History, Archeology and Ethnography of the Caucasus";journal;"26186772, 2618849X";0,259;Q1;4;67;182;2075;30;182;0,16;30,97;-;0;13;Russian Federation;Eastern Europe;"Daghestan Federal Research Centre of Russian Academy of Sciences (RAS)";"2019-2024";"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2)";"Arts and Humanities; Social Sciences"
178;13539;"Izvestiya Vysshikh Uchebnykh Zavedenii, Seriya Khimiya i Khimicheskaya Tekhnologiya";journal;"05792991, 25003070";0,258;Q3;12;184;508;6275;500;508;0,98;34,10;-;0;35;Russian Federation;Eastern Europe;"Ivanovo State University of Chemistry and Technology";"1980, 1982, 2017-2025";"Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3)";"Chemical Engineering; Chemistry"
179;21100781406;"Izvestiya Wysshikh Uchebnykh Zawedeniy, Yadernaya Energetika";journal;"02043327";0,255;Q3;9;59;165;867;34;165;0,20;14,69;-;0;18;Russian Federation;Eastern Europe;"Obninsk Institute for Nuclear Power Engineering, National Research Nuclear University 'MEPhI'";"2015-2024";"Nuclear Energy and Engineering (Q3)";"Energy"
180;21100781412;"Magazine of Civil Engineering";journal;"20714726, 27128172";0,254;Q3;32;60;319;2039;328;319;1,10;33,98;-;0;11;Russian Federation;Eastern Europe;"Peter the Great St. Petersburg Polytechnic University";"2013-2024";"Building and Construction (Q3); Civil and Structural Engineering (Q3)";"Engineering"
181;21100818507;"Monitoring Obshchestvennogo Mneniya: Ekonomicheskie i Sotsial'nye Peremeny";journal;"22195467";0,254;Q1;14;73;331;2865;182;330;0,50;39,25;-;0;27;Russian Federation;Eastern Europe;"Russian Public Opinion Research Center, VCIOM";"2016-2024";"Cultural Studies (Q1); Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Economics, Econometrics and Finance; Social Sciences"
182;21100840355;"Radiatsionnaya Gygiena";journal;"1998426X, 24099082";0,252;Q3;11;54;134;1074;112;134;0,98;19,89;-;0;22;Russian Federation;Eastern Europe;"Saint-Petersburg Research Institute of Radiation Hygiene after Professor P.V. Ramzaev";"2017-2024";"Radiology, Nuclear Medicine and Imaging (Q3)";"Medicine"
183;21100211330;"Diabetes Mellitus";journal;"20720351, 20720378";0,251;Q3;21;67;195;2123;257;195;1,33;31,69;-;0;66;Russian Federation;Eastern Europe;"UP Print LLC";"2012-2024";"Internal Medicine (Q3); Endocrinology (Q4); Endocrinology, Diabetes and Metabolism (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
184;23904;"Kardiologiya";journal;"24125660, 00229040";0,250;Q3;23;120;403;3399;393;401;0,81;28,33;-;0;28;Russian Federation;Eastern Europe;"Limited Liability Company KlinMed Consulting";"1961-2025";"Cardiology and Cardiovascular Medicine (Q3)";"Medicine"
185;21100415027;"Obshchaya Reanimatologiya";journal;"24117110, 18139779";0,249;Q3;12;46;134;1766;173;130;1,36;38,39;-;0;20;Russian Federation;Eastern Europe;"V.A. Negovsky Research Institute of General Reanimatology";"2015-2024";"Critical Care and Intensive Care Medicine (Q3)";"Medicine"
186;21100776473;"Russian Journal of Biomechanics";journal;"2410065X, 18125123";0,249;Q3;10;52;115;2125;138;115;1,26;40,87;-;0;6;Russian Federation;Eastern Europe;"Perm National Research Polytechnic University";"2016-2024";"Computational Mechanics (Q3); Biomaterials (Q4); Biomedical Engineering (Q4); Biophysics (Q4)";"Biochemistry, Genetics and Molecular Biology; Engineering; Materials Science"
187;21101042150;"Vestnik RUDN. International Relations";journal;"23130660, 23130679";0,249;Q1;7;45;148;977;82;146;0,62;21,71;-;0;24;Russian Federation;Eastern Europe;"RUDN University";"2019-2024";"History (Q1); Development (Q3); Political Science and International Relations (Q3)";"Arts and Humanities; Social Sciences"
188;26681;"Problemy Endokrinologii";journal;"03759660";0,248;Q4;15;71;219;2443;272;219;1,03;34,41;-;0;34;Russian Federation;Eastern Europe;"Meditsina Publishers";"1967-1995, 2016-2024";"Endocrinology (Q4); Endocrinology, Diabetes and Metabolism (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
189;21100834305;"Vestnik Sankt-Peterburgskogo Universiteta, Istoriya";journal;"25419390, 18129323";0,248;Q1;7;63;222;2709;55;222;0,27;43,00;-;0;8;Russian Federation;Eastern Europe;"Saint Petersburg State University";"2017-2024";"History (Q1)";"Arts and Humanities"
190;21100889869;"Antropologicheskij Forum";journal;"18158889, 18158870";0,247;Q2;5;25;96;1247;24;94;0,22;49,88;-;0;5;Russian Federation;Eastern Europe;"Peter the Great Museum of Anthropology and Ethnography (Kunstkamera), Russian Academy of Sciences";"2018-2024";"Anthropology (Q2); Cultural Studies (Q2)";"Social Sciences"
191;21100369411;"Bulletin of the South Ural State University, Series: Mathematical Modelling, Programming and Computer Software";journal;"20710216, 23080256";0,245;Q3;15;29;124;562;65;124;0,63;19,38;-;0;5;Russian Federation;Eastern Europe;"South Ural State University";"2014-2024";"Computational Mathematics (Q3); Computational Theory and Mathematics (Q4); Modeling and Simulation (Q4); Software (Q4)";"Computer Science; Mathematics"
192;21101153193;"Journal of Frontier Studies";journal;"25000225";0,245;Q1;3;45;52;2266;15;52;0,29;50,36;-;0;12;Russian Federation;Eastern Europe;"LLC Scientific Industrial Enterprise “Genesis. Frontier. Science”";"2023-2025";"History (Q1); Anthropology (Q2); Archeology (Q2); Archeology (arts and humanities) (Q2); Cultural Studies (Q2)";"Arts and Humanities; Social Sciences"
193;29797;"Vestnik Moskovskogo Universiteta, Seriya Geografiya";journal;"05799414";0,245;Q3;17;25;212;576;95;212;0,36;23,04;-;0;8;Russian Federation;Eastern Europe;"Moskovskij Universitet";"1978-1993, 1995-2024";"Agricultural and Biological Sciences (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Social Sciences"
194;19900192302;"Schole";journal;"19954336, 19954328";0,243;Q1;8;51;156;2012;35;156;0,27;39,45;-;0;3;Russian Federation;Eastern Europe;"Novosibirskij Gosudarstvennyj Universitet";"2011-2025";"Classics (Q1); Philosophy (Q2)";"Arts and Humanities"
195;21100902676;"Istoriya";journal;"20798784";0,242;Q1;7;415;1189;16949;291;1189;0,28;40,84;-;0;69;Russian Federation;Eastern Europe;"Ltd "Integration: Education and Science"";"2018-2024";"History (Q1); Visual Arts and Performing Arts (Q1); History and Philosophy of Science (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
196;21101034371;"Medicina Katastrof";journal;"20701004, 26867966";0,241;Q2;6;46;151;720;50;151;0,38;15,65;-;0;14;Russian Federation;Eastern Europe;"A.I. Burnazyan Federal Medical Biophysical Center";"2019-2024";"Emergency Medical Services (Q2); Health Professions (miscellaneous) (Q2); Emergency Medicine (Q3); Public Health, Environmental and Occupational Health (Q3)";"Health Professions; Medicine"
197;21101021488;"Perm University Herald - History";journal;"22193111";0,240;Q1;3;68;200;1312;31;200;0,16;19,29;-;0;15;Russian Federation;Eastern Europe;"Permskii Gosudarstvennyi Natsional'nyi Issledovatel'skii Universitet";"2019-2024";"History (Q1); Archeology (Q2); Archeology (arts and humanities) (Q2); Cultural Studies (Q2)";"Arts and Humanities; Social Sciences"
198;21100898946;"Sibirskii Filologicheskii Zhurnal";journal;"18137083";0,240;Q1;4;74;296;2284;28;296;0,08;30,86;-;0;8;Russian Federation;Eastern Europe;"Siberian Branch of the Russian Academy of Sciences, Institute of Philology";"2018-2024";"Literature and Literary Theory (Q1); Cultural Studies (Q2); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
199;21100937444;"Platonic Investigations";journal;"24103047, 26190745";0,239;Q2;3;30;90;1047;15;89;0,16;34,90;-;0;1;Russian Federation;Eastern Europe;"Plato Philosophical Society";"2019-2024";"Philosophy (Q2)";"Arts and Humanities"
200;21100976770;"Medico-Biological and Socio-Psychological Issues of Safety in Emergency Situations";journal;"25417487, 19954441";0,238;Q2;6;40;127;721;74;127;0,66;18,03;-;0;17;Russian Federation;Eastern Europe;"Nikiforov Russian Center of Emergency and Radiation Medicine, EMERCOM of Russia";"2019-2024";"Emergency Medical Services (Q2); Emergency Medicine (Q3); Public Health, Environmental and Occupational Health (Q3); Clinical Psychology (Q4); Psychiatry and Mental Health (Q4)";"Health Professions; Medicine; Psychology"
201;21100805728;"Nevrologiya, Neiropsikhiatriya, Psikhosomatika";journal;"20742711, 23101342";0,238;Q4;16;97;367;3549;419;367;1,36;36,59;-;0;19;Russian Federation;Eastern Europe;"Ima-Press Publishing House";"2016-2024";"Clinical Psychology (Q4); Neurology (clinical) (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology"
202;21100810709;"Biomedical Photonics";journal;"24139432";0,236;Q3;10;21;58;685;69;58;1,21;32,62;-;0;8;Russian Federation;Eastern Europe;"Russian Photodynamic Association";"2015-2024";"Dermatology (Q3); Surgery (Q3)";"Medicine"
203;28229;"Gigiena i Sanitariya";journal;"24120650, 00169900";0,236;Q3;19;189;655;5305;307;655;0,43;28,07;-;0;115;Russian Federation;Eastern Europe;"Federal Scientific Center of Hygiene named after FF Erisman";"1945-1947, 1950-2025";"Public Health, Environmental and Occupational Health (Q3); Health, Toxicology and Mutagenesis (Q4); Medicine (miscellaneous) (Q4); Pollution (Q4)";"Environmental Science; Medicine"
204;21100829916;"Chernye Metally";journal;"01320890, 24140104";0,235;Q3;17;159;452;4176;250;451;0,62;26,26;-;0;28;Russian Federation;Eastern Europe;"Ore and Metals Publishing house";"2016-2024";"Metals and Alloys (Q3)";"Materials Science"
205;21101039444;"Nanotechnologies in Construction";journal;"20758545";0,235;Q3;11;46;137;1576;118;132;0,82;34,26;-;0;13;Russian Federation;Eastern Europe;"Center for New Technologies Nanostroitel";"2019-2024";"Building and Construction (Q3); Engineering (miscellaneous) (Q3)";"Engineering"
206;21100900514;"Obrazovanie i Nauka";journal;"19945639, 23105828";0,235;Q3;16;70;216;3144;211;216;0,96;44,91;-;0;40;Russian Federation;Eastern Europe;"Russian State Vocational Pedagogical University";"2018-2025";"Education (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Developmental and Educational Psychology (Q4)";"Health Professions; Psychology; Social Sciences"
207;21101075154;"Povolzhskii Ekologicheskii Zhurnal";journal;"25418963, 16847318";0,235;Q3;5;32;93;1093;40;93;0,44;34,16;-;0;11;Russian Federation;Eastern Europe;"KMK Scientific Press Ltd.";"2019-2024";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q4)";"Agricultural and Biological Sciences; Environmental Science"
208;21100903426;"Mathematical Notes of NEFU";journal;"2587876X, 24119326";0,234;Q4;6;32;97;662;38;97;0,43;20,69;-;0;1;Russian Federation;Eastern Europe;"M. K. Ammosov North-Eastern Federal University";"2019-2024";"Mathematics (miscellaneous) (Q4)";"Mathematics"
209;21100979307;"Counseling Psychology and Psychotherapy";journal;"20753470, 23119446";0,233;Q3;12;35;128;925;86;114;0,72;26,43;-;0;13;Russian Federation;Eastern Europe;"Moscow State University of Psychology and Education";"2016-2024";"Health (social science) (Q3); Clinical Psychology (Q4); Developmental and Educational Psychology (Q4)";"Psychology; Social Sciences"
210;21100776063;"Letters on Materials";journal;"22185046, 24103535";0,233;Q3;17;74;272;2344;203;272;0,77;31,68;-;0;5;Russian Federation;Eastern Europe;"Institute for Metals Superplasticity Problems of Russian Academy of Sciences";"2014-2024";"Materials Science (miscellaneous) (Q3)";"Materials Science"
211;21101062811;"Membranes and Membrane Technologies";journal;"25177524, 25177516";0,233;Q3;13;28;139;1454;155;139;1,10;51,93;-;0;5;Russian Federation;Eastern Europe;"Springer Nature";"2019-2024";"Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Materials Science (miscellaneous) (Q3)";"Chemical Engineering; Chemistry; Materials Science"
212;21100826381;"Woman in Russian Society";journal;"19922892, 2500221X";0,233;Q3;8;39;166;1299;49;166;0,35;33,31;-;0;25;Russian Federation;Eastern Europe;"Ivanovo State University Publishing";"2017-2024";"Gender Studies (Q3); Sociology and Political Science (Q3)";"Social Sciences"
213;21100785520;"Zhournal Novoi Ekonomicheskoi Associacii /Journal of the New Economic Association";journal;"22212264";0,233;Q3;13;59;172;1718;109;172;0,69;29,12;-;0;33;Russian Federation;Eastern Europe;"New Economic Association";"2016-2024";"Economics and Econometrics (Q3); Finance (Q3)";"Economics, Econometrics and Finance"
214;21100244604;"Scientific Visualization";journal;"20793537";0,232;Q4;13;56;168;1319;112;168;0,69;23,55;-;0;8;Russian Federation;Eastern Europe;"National Research Nuclear University "MEPhI"";"2013-2024";"Computer Vision and Pattern Recognition (Q4); Software (Q4)";"Computer Science"
215;21100828916;"Theoretical and Applied Ecology";journal;"19954301, 26188406";0,232;Q3;11;107;367;3014;209;366;0,64;28,17;-;0;48;Russian Federation;Eastern Europe;"Publishing house of O-Kratkoe";"2017-2024";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q4)";"Agricultural and Biological Sciences; Environmental Science"
216;21100821158;"HSE Economic Journal";journal;"18138691, 18138705";0,231;Q3;11;24;69;999;63;69;0,83;41,63;-;0;15;Russian Federation;Eastern Europe;"Publishing House of the Higher School of Economics";"2017-2024";"Economics, Econometrics and Finance (miscellaneous) (Q3)";"Economics, Econometrics and Finance"
217;21101045746;"Lithosphere (Russian Federation)";journal;"16819004, 2500302X";0,231;Q3;6;61;163;2654;73;163;0,41;43,51;-;0;4;Russian Federation;Eastern Europe;"AN Zavaritsky Institute of Geology and Geochemistry";"2019-2024";"Geology (Q3); Geophysics (Q3); Stratigraphy (Q3); Geochemistry and Petrology (Q4)";"Earth and Planetary Sciences"
218;21101194300;"Technology and Language";journal;"27129934";0,231;Q2;9;44;127;966;87;121;0,87;21,95;-;0;5;Russian Federation;Eastern Europe;"St. Petersburg Polytechnic University of Peter the Great";"2020-2024";"Cultural Studies (Q2); History and Philosophy of Science (Q2); Engineering (miscellaneous) (Q3)";"Arts and Humanities; Engineering; Social Sciences"
