Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
219;5000154402;"Thermophysics and Aeromechanics";journal;"08698643";0,218;Q3;27;107;268;2224;154;268;0,53;20,79;20,10;0;12;Russian Federation;Eastern Europe;"Maik Nauka-Interperiodica Publishing";"2006-2024";"Radiation (Q3); Aerospace Engineering (Q4); Energy Engineering and Power Technology (Q4); Modeling and Simulation (Q4); Nuclear and High Energy Physics (Q4)";"Energy; Engineering; Mathematics; Physics and Astronomy"
220;21101038677;"Vestnik Moskovskogo Universiteta. Seriya 10. Zhurnalistika";journal;"03208079, 26583526";0,218;Q3;5;43;139;1224;54;138;0,46;28,47;64,62;0;8;Russian Federation;Eastern Europe;"MSU Publishing House";"2019-2024";"Communication (Q3); Social Sciences (miscellaneous) (Q3)";"Social Sciences"
221;21101034002;"Izvestiya Rossiiskoi Akademii Nauk. Seriya Geograficheskaya";journal;"26586975, 25875566";0,217;Q2;13;0;0;0;0;0;0,00;0,00;49,34;0;0;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"1978-1992, 1995-2011, 2018";"Cultural Studies (Q2); Earth and Planetary Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3); Urban Studies (Q3)";"Earth and Planetary Sciences; Social Sciences"
222;22563;"Journal of Ichthyology";journal;"00329452, 15556425";0,217;Q3;23;128;326;6225;176;326;0,53;48,63;40,09;0;16;Russian Federation;Eastern Europe;"";"1976-1977, 1979-1984, 1987, 1990-1995, 2006-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3); Aquatic Science (Q4)";"Agricultural and Biological Sciences"
223;21100887628;"Journal of Siberian Federal University - Humanities and Social Sciences";journal;"23136014, 19971370";0,217;Q2;12;178;464;4577;188;464;0,37;25,71;62,13;0;58;Russian Federation;Eastern Europe;"Siberian Federal University";"2018-2025";"Anthropology (Q2)";"Social Sciences"
224;21101079410;"Kutafin Law Review";journal;"27130525, 27130533";0,217;Q2;4;33;68;690;24;68;0,35;20,91;50,00;0;18;Russian Federation;Eastern Europe;"Kutafin Moscow State Law University (MSAL)";"2021-2024";"Law (Q2)";"Social Sciences"
225;27036;"Radiochemistry";journal;"16083288, 10663622";0,217;Q4;33;107;267;2683;225;267;0,90;25,07;39,20;0;15;Russian Federation;Eastern Europe;"";"2001-2024";"Physical and Theoretical Chemistry (Q4)";"Chemistry"
226;21101038728;"International Journal for Computational Civil and Structural Engineering";journal;"25880195, 25879618";0,216;Q3;6;63;144;1381;91;144;0,70;21,92;31,54;0;7;Russian Federation;Eastern Europe;"ASV Publishing House";"2019-2024";"Computational Mechanics (Q3); Building and Construction (Q4); Civil and Structural Engineering (Q4); Mechanics of Materials (Q4)";"Engineering"
227;19350;"Mikologiya I Fitopatologiya";journal;"00263648";0,216;Q4;16;44;135;1765;94;131;0,67;40,11;59,17;0;8;Russian Federation;Eastern Europe;"Russian Academy of Sciences";"1996-2024";"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)";"Agricultural and Biological Sciences; Environmental Science"
228;21100901901;"Biological Communications";journal;"25875779, 25422154";0,215;Q3;13;30;86;1359;80;85;0,93;45,30;50,00;0;5;Russian Federation;Eastern Europe;"Saint Petersburg State University";"2017-2024";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
